star,"C,S,Score Values"
0,-15.0
1,2.5
2,1.0
3,0.0
4,1.5
5,59.5
6,2.0
7,32.5
8,2.0
9,24.0
10,5.0
11,59.5
12,4.0
13,1.5
14,0.5
15,4.5
16,4.0
17,7.0
19,-14.5
20,3.0
21,7.5
22,2.0
23,3.0
24,0.5
25,4.0
26,1.5
27,4.5
28,4.0
29,5.0
30,5.0
31,3.0
32,59.5
33,2.0
34,2.0
35,9.0
36,7.0
37,0.0
38,46.0
39,-0.5
40,4.5
41,3.0
42,-3.0
43,-15.0
44,4.0
45,-15.0
46,1.5
47,-7.5
48,1.5
49,6.5
50,4.0
51,0.5
52,2.0
55,-3.5
56,3.0
57,1.5
58,5.0
59,0.0
60,0.5
61,47.0
62,1.5
63,5.5
64,4.0
65,2.0
66,-12.5
67,16.5
68,1.5
69,1.0
70,2.0
71,1.5
72,7.0
73,3.5
74,3.0
76,59.5
77,16.5
78,2.5
79,3.5
80,3.0
81,8.5
82,3.5
83,2.5
84,2.5
85,3.0
86,3.0
88,3.0
89,6.5
90,2.5
91,5.5
92,2.0
94,2.0
95,5.0
96,5.5
97,8.0
98,1.5
99,0.5
100,7.0
102,3.0
103,31.5
104,5.0
105,3.5
106,7.0
108,5.0
110,-14.0
112,5.0
113,3.0
114,1.5
116,1.5
117,4.0
118,1.5
119,2.0
120,5.5
121,10.0
122,53.0
123,10.0
124,5.5
125,3.0
126,6.5
127,3.5
128,59.0
129,7.5
130,-15.0
131,2.5
132,8.0
133,2.5
135,6.0
136,49.0
138,4.0
139,0.0
140,1.0
141,2.0
143,4.0
144,5.5
145,1.5
147,1.5
148,1.0
149,2.0
151,47.5
152,9.0
153,1.0
154,1.0
155,1.0
156,-11.5
157,2.0
158,5.5
159,1.0
160,5.5
161,1.5
163,4.0
164,1.0
165,1.0
166,7.0
168,6.0
169,2.5
170,49.5
171,2.5
172,4.0
173,3.5
174,-9.5
175,4.5
177,0.5
178,3.0
179,9.0
181,4.5
182,14.5
185,58.5
186,-9.5
187,-13.5
188,11.0
189,8.5
190,3.5
191,-15.0
193,6.5
194,-15.0
195,5.0
198,6.0
199,6.0
